Occupation,ID Year,SOC,Place:,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
Management Occupations,2020,11,Springfield_VA,2020,04000US51,Virginia,1752,307.8262497,1.028879659,"Springfield, VA",16000US5174592,springfield-va,177051,63247,1770,-1.016949153,162500,8.954461538,10.80680977
Business & Financial Operations Occupations,2020,13,Springfield_VA,2020,04000US51,Virginia,1313,249.8259394,1.466541032,"Springfield, VA",16000US5174592,springfield-va,189085,55564,1107,18.60885276,137163,37.85423183,8.098939057
Computer & Mathematical Occupations,2020,15,Springfield_VA,2020,04000US51,Virginia,916,173.104015,1.736296882,"Springfield, VA",16000US5174592,springfield-va,167904,36427,915,0.109289617,188421,-10.88891366,5.650135702
Architecture & Engineering Occupations,2020,17,Springfield_VA,2020,04000US51,Virginia,281,101.9656805,0.874827342,"Springfield, VA",16000US5174592,springfield-va,230179,71476,333,-15.61561562,229583,0.259601103,1.733283987
"Life, Physical, & Social Science Occupations",2020,19,Springfield_VA,2020,04000US51,Virginia,220,160.1624176,1.365567198,"Springfield, VA",16000US5174592,springfield-va,130592,73952,136,61.76470588,180387,-27.60453913,1.357019492
Community & Social Service Occupations,2020,21,Springfield_VA,2020,04000US51,Virginia,97,56.82429058,0.336957809,"Springfield, VA",16000US5174592,springfield-va,45114,23637,161,-39.7515528,89053,-49.34028051,0.59832223
Legal Occupations,2020,23,Springfield_VA,2020,04000US51,Virginia,178,73.59347797,0.961756114,"Springfield, VA",16000US5174592,springfield-va,155915,110096,214,-16.82242991,230511,-32.36114546,1.097952134
"Education Instruction, & Library Occupations",2020,25,Springfield_VA,2020,04000US51,Virginia,448,136.341483,0.451030155,"Springfield, VA",16000US5174592,springfield-va,82227,31940,497,-9.85915493,69821,17.76829321,2.763385147
"Arts, Design, Entertainment, Sports, & Media Occupations",2020,27,Springfield_VA,2020,04000US51,Virginia,451,178.1010949,1.361736591,"Springfield, VA",16000US5174592,springfield-va,116723,31370,405,11.35802469,103051,13.2672172,2.781889958
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Springfield_VA,2020,04000US51,Virginia,405,182.1867174,0.599702054,"Springfield, VA",16000US5174592,springfield-va,256277,199456,427,-5.152224824,260838,-1.748594913,2.498149519
Health Diagnosing & Treating Practitioners & Other Technical Occupations,2020,29,Springfield_VA,2020,04000US51,Virginia,204,86.68333173,0.641789407,"Springfield, VA",16000US5174592,springfield-va,29432,17036,252,-19.04761905,74591,-60.54215656,1.258327165
Healthcare Support Occupations,2020,31,Springfield_VA,2020,04000US51,Virginia,626,364.793092,1.179196218,"Springfield, VA",16000US5174592,springfield-va,72081,35829,418,49.76076555,58781,22.62635886,3.861337281
Food Preparation & Serving Related Occupations,2020,35,Springfield_VA,2020,04000US51,Virginia,1532,317.7750777,1.70074248,"Springfield, VA",16000US5174592,springfield-va,28555,9905,1454,5.364511692,27356,4.382950724,9.449790279
Building & Grounds Cleaning & Maintenance Occupations,2020,37,Springfield_VA,2020,04000US51,Virginia,963,297.0016835,1.615106904,"Springfield, VA",16000US5174592,springfield-va,54801,23807,969,-0.619195046,61962,-11.55708337,5.940044412
Personal Care & Service Occupations,2020,39,Springfield_VA,2020,04000US51,Virginia,673,184.6185256,1.51855874,"Springfield, VA",16000US5174592,springfield-va,42323,45709,785,-14.26751592,26417,60.21122762,4.151245991
Protective Service Occupations,2020,33,Springfield_VA,2020,04000US51,Virginia,216,117.6435294,1.136497623,"Springfield, VA",16000US5174592,springfield-va,113750,166661,192,12.5,96771,17.54554567,1.33234641
Protective Service Occupations,2020,33,Springfield_VA,2020,04000US51,Virginia,152,84.43340571,0.969822915,"Springfield, VA",16000US5174592,springfield-va,81607,63306,117,29.91452991,54299,50.29190224,0.937577103
Sales & Related Occupations,2020,41,Springfield_VA,2020,04000US51,Virginia,1091,265.9567634,0.672704133,"Springfield, VA",16000US5174592,springfield-va,51171,18799,1217,-10.35332786,50986,0.362844702,6.729583025
Office & Administrative Support Occupations,2020,43,Springfield_VA,2020,04000US51,Virginia,1500,418.3837951,0.817051335,"Springfield, VA",16000US5174592,springfield-va,79685,5033,1412,6.232294618,75275,5.858518765,9.252405625
Construction & Extraction Occupations,2020,47,Springfield_VA,2020,04000US51,Virginia,932,322.0201857,1.143254826,"Springfield, VA",16000US5174592,springfield-va,35944,2748,924,0.865800866,36302,-0.986171561,5.748828029
"Installation, Maintenance, & Repair Occupations",2020,49,Springfield_VA,2020,04000US51,Virginia,517,143.4224529,1.039950061,"Springfield, VA",16000US5174592,springfield-va,42238,14510,689,-24.96371553,46506,-9.177310455,3.188995806
Production Occupations,2020,51,Springfield_VA,2020,04000US51,Virginia,576,243.4460926,0.636420554,"Springfield, VA",16000US5174592,springfield-va,59971,26978,573,0.523560209,68556,-12.52260925,3.55292376
Transportation & Material Moving Occupations,2020,53,Springfield_VA,2020,04000US51,Virginia,898,322.8203835,1.45533197,"Springfield, VA",16000US5174592,springfield-va,31294,1357,760,18.15789474,44603,-29.83880008,5.539106834
